🍄 Mycelia v7.3 loaded

======================================================================
🍄 MYCELIA FINAL TRAINING v8.0
   Stanford (30%) + FineWeb (70%) | No compression
======================================================================

📚 Loading tokenizer...
   Vocab: 151,643

🏗️ Building model...
   181,051,920 params on cuda:0

🔥 Scheduler: peak=3.00e-04 | min=1.00e-05 | warmup=100 | total=610,351

======================================================================
🏆 BEST CHECKPOINT
======================================================================
   ✅ Model loaded
   🔥 Warm-started input_pos

   📊 Resumed: step=1,219,000 | epoch=30 | loss=4.3306
   🏆 Best loss: 4.3306
   📈 Extended training plan: 2,327,649 total steps
   🚀 LR BURST: Injecting peak LR=3.00e-04 for 500 steps
   🔥 Scheduler reset: step=1219000 | LR=3.00e-04 | 📉 Annealing
   🚀 LR BURST ACTIVE: steps 1,219,000 → 1,219,500
   ✅ Optimizer restored

📖 Loading datasets...
   📥 Loading FineWeb chunks...
   📚 Loading 500 chunks...
      100 chunks (100,000,000 tokens, 0.40 GB)
      200 chunks (200,000,000 tokens, 0.80 GB)
      300 chunks (300,000,000 tokens, 1.20 GB)
      400 chunks (400,000,000 tokens, 1.60 GB)
      500 chunks (500,000,000 tokens, 2.00 GB)
   ✅ 500 arrays | 500,000,000 tokens | 2.00 GB
   ✅ Data ready

⏱️  Tracker: 8,192 tok/step | 10.0B total

======================================================================
🚀 EPOCH 31 — STEP 1,219,000
======================================================================

Training: 1219000it [00:00, ?it/s]   FCA: α_attn_eff=1.5375 α_ffn_eff=2.5371 φ_l=0.0368 scale=0.9878

⏱️  Step 1,219,000 | 620371899 tok/s | 9.99/10.0 GB | 100.0% | ETA N/A | Elapsed 0:00:16

📊 Step 1,219,000 | Loss: 5.0158 | LR: 3.00e-04 | 📉 Annealing 🚀 BURST
   Coherence: 0.9486 📈
   Friction: 🟢 HARMONIZED | early=0.85 late=1.78 Δ=-0.93
Training: 1219001it [00:16, 16.29s/it]   FCA: α_attn_eff=1.5375 α_ffn_eff=2.5371 φ_l=0.0368 scale=0.9878
Training: 1259191it [1:48:46,  7.51it/s]   FCA: α_attn_eff=1.6506 α_ffn_eff=2.7551 φ_l=0.0368 scale=0.9944
Training: 1259192it [1:48:46,  6.47it/s]   FCA: α_attn_eff=1.6303 α_ffn_eff=2.7212 φ_l=0.0368 scale=0.9821
Training: 1259193it [1:48:46,  6.89it/s]   FCA: α_attn_eff=1.6412 α_ffn_eff=2.7395 φ_l=0.0368 scale=0.9887
Training: 1259194it [1:48:46,  7.09it/s]   FCA: α_attn_eff=1.6459 α_ffn_eff=2.7473 φ_l=0.0368 scale=0.9915
Training: 1259195it [1:48:46,  7.25it/s]   FCA: α_attn_eff=1.6287 α_ffn_eff=2.7186 φ_l=0.0368 scale=0.9812
Training: 1259196it [1:48:46,  7.34it/s]   FCA: α_attn_eff=1.6365 α_ffn_eff=2.7316 φ_l=0.0368 scale=0.9859
Training: 1259197it [1:48:46,  7.43it/s]   FCA: α_attn_eff=1.6443 α_ffn_eff=2.7447 φ_l=0.0368 scale=0.9906
Training: 1259198it [1:48:47,  7.44it/s]   FCA: α_attn_eff=1.6537 α_ffn_eff=2.7603 φ_l=0.0368 scale=0.9962
Training: 1259199it [1:48:47,  7.50it/s]   FCA: α_attn_eff=1.6412 α_ffn_eff=2.7395 φ_l=0.0368 scale=0.9887
Training: 1259200it [1:48:47,  6.48it/s]   FCA: α_attn_eff=1.6334 α_ffn_eff=2.7264 φ_l=0.0368 scale=0.9840
Training: 1259201it [1:48:47,  6.94it/s]   FCA: α_attn_eff=1.6537 α_ffn_eff=2.7603 φ_l=0.0368 scale=0.9962
Training: 1259202it [1:48:47,  7.12it/s]   FCA: α_attn_eff=1.6318 α_ffn_eff=2.7238 φ_l=0.0368 scale=0.9831
Training: 1259203it [1:48:47,  7.25it/s]   FCA: α_attn_eff=1.6381 α_ffn_eff=2.7342 φ_l=0.0368 scale=0.9868
Training: 1259204it [1:48:47,  7.38it/s]   FCA: α_attn_eff=1.6396 α_ffn_eff=2.7368 φ_l=0.0368 scale=0.9878
Training: 1259205it [1:48:48,  7.46it/s]   FCA: α_attn_eff=1.6428 α_ffn_eff=2.7421 φ_l=0.0368 scale=0.9897
Training: 1259206it [1:48:48,  7.46it/s]   FCA: α_attn_eff=1.6318 α_ffn_eff=2.7238 φ_l=0.0368 scale=0.9831
Training: 1259207it [1:48:48,  7.45it/s]   FCA: α_attn_eff=1.6506 α_ffn_eff=2.7551 φ_l=0.0368 scale=0.9944
Training: 1259208it [1:48:48,  6.42it/s]   FCA: α_attn_eff=1.6412 α_ffn_eff=2.7394 φ_l=0.0368 scale=0.9887
Training: 1259209it [1:48:48,  6.85it/s]   FCA: α_attn_eff=1.6459 α_ffn_eff=2.7473 φ_l=0.0368 scale=0.9915
Training: 1259210it [1:48:48,  7.02it/s]   FCA: α_attn_eff=1.6459 α_ffn_eff=2.7473 φ_l=0.0368 scale=0.9915
Training: 1259211it [1:48:48,  7.21it/s]   FCA: α_attn_eff=1.6428 α_ffn_eff=2.7421 φ_l=0.0368 scale=0.9897
Training: 1259212it [1:48:49,  7.30it/s]   FCA: α_attn_eff=1.6287 α_ffn_eff=2.7186 φ_l=0.0368 scale=0.9812
Training: 1259213it [1:48:49,  7.37it/s]   FCA: α_attn_eff=1.6396 α_ffn_eff=2.7368 φ_l=0.0368 scale=0.9878
Training: 1259214it [1:48:49,  7.45it/s]   FCA: α_attn_eff=1.6490 α_ffn_eff=2.7525 φ_l=0.0368 scale=0.9934
Training: 1259215it [1:48:49,  7.48it/s]   FCA: α_attn_eff=1.6412 α_ffn_eff=2.7394 φ_l=0.0368 scale=0.9887
Training: 1259216it [1:48:49,  6.44it/s]   FCA: α_attn_eff=1.6381 α_ffn_eff=2.7342 φ_l=0.0368 scale=0.9868
Training: 1259217it [1:48:49,  6.89it/s]   FCA: α_attn_eff=1.6381 α_ffn_eff=2.7342 φ_l=0.0368 scale=0.9868
Training: 1259218it [1:48:49,  7.10it/s]   FCA: α_attn_eff=1.6490 α_ffn_eff=2.7525 φ_l=0.0368 scale=0.9934
Training: 1259219it [1:48:50,  7.24it/s]   FCA: α_attn_eff=1.6459 α_ffn_eff=2.7472 φ_l=0.0368 scale=0.9915
Training: 1259220it [1:48:50,  7.36it/s]   FCA: α_attn_eff=1.6381 α_ffn_eff=2.7342 φ_l=0.0368 scale=0.9868
Training: 1259221it [1:48:50,  7.42it/s]   FCA: α_attn_eff=1.6490 α_ffn_eff=2.7525 φ_l=0.0368 scale=0.9934
Training: 1259222it [1:48:50,  7.47it/s]   FCA: α_attn_eff=1.6209 α_ffn_eff=2.7055 φ_l=0.0368 scale=0.9765
Training: 1259223it [1:48:50,  7.54it/s]   FCA: α_attn_eff=1.6381 α_ffn_eff=2.7342 φ_l=0.0368 scale=0.9868
Training: 1259224it [1:48:50,  6.45it/s]   FCA: α_attn_eff=1.6475 α_ffn_eff=2.7498 φ_l=0.0368 scale=0.9925
Training: 1259225it [1:48:50,  6.88it/s]   FCA: α_attn_eff=1.6381 α_ffn_eff=2.7342 φ_l=0.0368 scale=0.9868
Training: 1259226it [1:48:50,  7.10it/s]   FCA: α_attn_eff=1.6475 α_ffn_eff=2.7498 φ_l=0.0368 scale=0.9925
Training: 1259227it [1:48:51,  7.24it/s]   FCA: α_attn_eff=1.6412 α_ffn_eff=2.7394 φ_l=0.0368 scale=0.9887
Training: 1259228it [1:48:51,  7.32it/s]   FCA: α_attn_eff=1.6521 α_ffn_eff=2.7577 φ_l=0.0368 scale=0.9953
Training: 1259229it [1:48:51,  7.39it/s]   FCA: α_attn_eff=1.6490 α_ffn_eff=2.7524 φ_l=0.0368 scale=0.9934
Training: 1259230it [1:48:51,  7.44it/s]   FCA: α_attn_eff=1.6506 α_ffn_eff=2.7551 φ_l=0.0368 scale=0.9944
Training: 1259231it [1:48:51,  7.51it/s]   FCA: α_attn_eff=1.6397 α_ffn_eff=2.7368 φ_l=0.0368 scale=0.9878
Training: 1259232it [1:48:51,  6.44it/s]   FCA: α_attn_eff=1.6537 α_ffn_eff=2.7603 φ_l=0.0368 scale=0.9962
Training: 1259233it [1:48:51,  6.90it/s]   FCA: α_attn_eff=1.6428 α_ffn_eff=2.7420 φ_l=0.0368 scale=0.9897
Training: 1259234it [1:48:52,  7.08it/s]   FCA: α_attn_eff=1.6443 α_ffn_eff=2.7446 φ_l=0.0368 scale=0.9906
Training: 1259235it [1:48:52,  7.25it/s]   FCA: α_attn_eff=1.6428 α_ffn_eff=2.7420 φ_l=0.0368 scale=0.9897
Training: 1259236it [1:48:52,  7.38it/s]   FCA: α_attn_eff=1.6365 α_ffn_eff=2.7316 φ_l=0.0368 scale=0.9859
Training: 1259237it [1:48:52,  7.43it/s]   FCA: α_attn_eff=1.6506 α_ffn_eff=2.7550 φ_l=0.0368 scale=0.9944
Training: 1259238it [1:48:52,  7.49it/s]   FCA: α_attn_eff=1.6412 α_ffn_eff=2.7394 φ_l=0.0368 scale=0.9887
Training: 1259239it [1:48:52,  7.51it/s]   FCA: α_attn_eff=1.6459 α_ffn_eff=2.7472 φ_l=0.0368 scale=0.9915
Training: 1259240it [1:48:52,  6.48it/s]   FCA: α_attn_eff=1.6397 α_ffn_eff=2.7368 φ_l=0.0368 scale=0.9878
Training: 1259241it [1:48:53,  6.90it/s]   FCA: α_attn_eff=1.6553 α_ffn_eff=2.7629 φ_l=0.0368 scale=0.9972
Training: 1259242it [1:48:53,  7.11it/s]   FCA: α_attn_eff=1.6428 α_ffn_eff=2.7420 φ_l=0.0368 scale=0.9897
Training: 1259243it [1:48:53,  7.26it/s]   FCA: α_attn_eff=1.6147 α_ffn_eff=2.6951 φ_l=0.0368 scale=0.9727
Training: 1259244it [1:48:53,  7.39it/s]   FCA: α_attn_eff=1.6350 α_ffn_eff=2.7290 φ_l=0.0368 scale=0.9849
Training: 1259245it [1:48:53,  7.43it/s]   FCA: α_attn_eff=1.6225 α_ffn_eff=2.7081 φ_l=0.0368 scale=0.9774
Training: 1259246it [1:48:53,  7.47it/s]   FCA: α_attn_eff=1.6334 α_ffn_eff=2.7264 φ_l=0.0368 scale=0.9840
Training: 1259247it [1:48:53,  7.48it/s]   FCA: α_attn_eff=1.6443 α_ffn_eff=2.7446 φ_l=0.0368 scale=0.9906
Training: 1259248it [1:48:54,  6.45it/s]   FCA: α_attn_eff=1.6553 α_ffn_eff=2.7629 φ_l=0.0368 scale=0.9972
Training: 1259249it [1:48:54,  6.91it/s]   FCA: α_attn_eff=1.6521 α_ffn_eff=2.7577 φ_l=0.0368 scale=0.9953
Training: 1259250it [1:48:54,  7.11it/s]   FCA: α_attn_eff=1.6490 α_ffn_eff=2.7525 φ_l=0.0368 scale=0.9934
Training: 1259251it [1:48:54,  7.23it/s]   FCA: α_attn_eff=1.6365 α_ffn_eff=2.7316 φ_l=0.0368 scale=0.9859
Training: 1259252it [1:48:54,  7.35it/s]   FCA: α_attn_eff=1.6568 α_ffn_eff=2.7655 φ_l=0.0368 scale=0.9981
Training: 1259253it [1:48:54,  7.45it/s]   FCA: α_attn_eff=1.6521 α_ffn_eff=2.7577 φ_l=0.0368 scale=0.9953
Training: 1259254it [1:48:54,  7.52it/s]   FCA: α_attn_eff=1.6334 α_ffn_eff=2.7264 φ_l=0.0368 scale=0.9840
Training: 1259255it [1:48:54,  7.51it/s]   FCA: α_attn_eff=1.6521 α_ffn_eff=2.7577 φ_l=0.0368 scale=0.9953
Training: 1259256it [1:48:55,  6.47it/s]   FCA: α_attn_eff=1.6537 α_ffn_eff=2.7603 φ_l=0.0368 scale=0.9962
Training: 1259257it [1:48:55,  6.92it/s]   FCA: α_attn_eff=1.6506 α_ffn_eff=2.7551 φ_l=0.0368 scale=0.9944
Training: 1259258it [1:48:55,  7.11it/s]   FCA: α_attn_eff=1.6459 α_ffn_eff=2.7473 φ_l=0.0368 scale=0.9915
Training: 1259259it [1:48:55,  7.27it/s]   FCA: α_attn_eff=1.6459 α_ffn_eff=2.7473 φ_l=0.0368 scale=0.9915
Training: 1259260it [1:48:55,  7.34it/s]   FCA: α_attn_eff=1.6365 α_ffn_eff=2.7316 φ_l=0.0368 scale=0.9859
Training: 1259261it [1:48:55,  7.42it/s]   FCA: α_attn_eff=1.6428 α_ffn_eff=2.7421 φ_l=0.0368 scale=0.9897
Training: 1259262it [1:48:55,  7.45it/s]   FCA: α_attn_eff=1.6506 α_ffn_eff=2.7551 φ_l=0.0368 scale=0.9944
Training: 1259263it [1:48:56,  7.50it/s]   FCA: α_attn_eff=1.6475 α_ffn_eff=2.7499 φ_l=0.0368 scale=0.9925
Training: 1259264it [1:48:56,  6.45it/s]   FCA: α_attn_eff=1.6474 α_ffn_eff=2.7499 φ_l=0.0368 scale=0.9925
Training: 1259265it [1:48:56,  6.88it/s]   FCA: α_attn_eff=1.6334 α_ffn_eff=2.7264 φ_l=0.0368 scale=0.9840
Training: 1259266it [1:48:56,  7.08it/s]   FCA: α_attn_eff=1.6490 α_ffn_eff=2.7525 φ_l=0.0368 scale=0.9934
Training: 1259267it [1:48:56,  7.21it/s]   FCA: α_attn_eff=1.6334 α_ffn_eff=2.7264 φ_l=0.0368 scale=0.9840
Training: 1259268it [1:48:56,  7.34it/s]   FCA: α_attn_eff=1.6490 α_ffn_eff=2.7525 φ_l=0.0368 scale=0.9934
Training: 1259269it [1:48:56,  7.41it/s]   FCA: α_attn_eff=1.6474 α_ffn_eff=2.7499 φ_l=0.0368 scale=0.9925
Training: 1259270it [1:48:57,  7.48it/s]   FCA: α_attn_eff=1.6334 α_ffn_eff=2.7264 φ_l=0.0368 scale=0.9840
Training: 1259271it [1:48:57,  7.52it/s]   FCA: α_attn_eff=1.6459 α_ffn_eff=2.7473 φ_l=0.0368 scale=0.9915
Training: 1259272it [1:48:57,  6.46it/s]   FCA: α_attn_eff=1.6349 α_ffn_eff=2.7291 φ_l=0.0368 scale=0.9849
Training: 1259273it [1:48:57,  6.90it/s]   FCA: α_attn_eff=1.6474 α_ffn_eff=2.7499 φ_l=0.0368 scale=0.9925
Training: 1259274it [1:48:57,  7.06it/s]   FCA: α_attn_eff=1.6490 α_ffn_eff=2.7525 φ_l=0.0368 scale=0.9934
Training: 1259275it [1:48:57,  7.21it/s]   FCA: α_attn_eff=1.6537 α_ffn_eff=2.7603 φ_l=0.0368 scale=0.9962
Training: 1259276it [1:48:57,  7.32it/s]   FCA: α_attn_eff=1.6568 α_ffn_eff=2.7655 φ_l=0.0368 scale=0.9981
Training: 1259277it [1:48:58,  7.40it/s]   FCA: α_attn_eff=1.6443 α_ffn_eff=2.7447 φ_l=0.0368 scale=0.9906
Training: 1259278it [1:48:58,  7.43it/s]   FCA: α_attn_eff=1.6380 α_ffn_eff=2.7343 φ_l=0.0368 scale=0.9868
Training: 1259279it [1:48:58,  7.49it/s]   FCA: α_attn_eff=1.6490 α_ffn_eff=2.7525 φ_l=0.0368 scale=0.9934
Training: 1259280it [1:48:58,  6.44it/s]   FCA: α_attn_eff=1.6505 α_ffn_eff=2.7551 φ_l=0.0368 scale=0.9944
Training: 1259281it [1:48:58,  6.90it/s]   FCA: α_attn_eff=1.6490 α_ffn_eff=2.7525 φ_l=0.0368 scale=0.9934
Training: 1259282it [1:48:58,  7.07it/s]   FCA: α_attn_eff=1.6490 α_ffn_eff=2.7525 φ_l=0.0368 scale=0.9934
Training: 1259283it [1:48:58,  7.21it/s]   FCA: α_attn_eff=1.6396 α_ffn_eff=2.7369 φ_l=0.0368 scale=0.9878
Training: 1259284it [1:48:59,  7.34it/s]   FCA: α_attn_eff=1.6333 α_ffn_eff=2.7265 φ_l=0.0368 scale=0.9840
Training: 1259285it [1:48:59,  7.37it/s]   FCA: α_attn_eff=1.6380 α_ffn_eff=2.7343 φ_l=0.0368 scale=0.9868
Training: 1259286it [1:48:59,  7.45it/s]   FCA: α_attn_eff=1.6443 α_ffn_eff=2.7447 φ_l=0.0368 scale=0.9906
Training: 1259287it [1:48:59,  7.49it/s]   FCA: α_attn_eff=1.6318 α_ffn_eff=2.7239 φ_l=0.0368 scale=0.9831
Training: 1259288it [1:48:59,  6.45it/s]   FCA: α_attn_eff=1.6427 α_ffn_eff=2.7421 φ_l=0.0368 scale=0.9897
Training: 1259289it [1:48:59,  6.88it/s]   FCA: α_attn_eff=1.6505 α_ffn_eff=2.7552 φ_l=0.0368 scale=0.9944
Training: 1259290it [1:48:59,  7.10it/s]   FCA: α_attn_eff=1.6396 α_ffn_eff=2.7369 φ_l=0.0368 scale=0.9878
Training: 1259291it [1:49:00,  7.25it/s]   FCA: α_attn_eff=1.6365 α_ffn_eff=2.7317 φ_l=0.0368 scale=0.9859
Training: 1259292it [1:49:00,  7.35it/s]   FCA: α_attn_eff=1.6302 α_ffn_eff=2.7213 φ_l=0.0368 scale=0.9821
Training: 1259293it [1:49:00,  7.43it/s]   FCA: α_attn_eff=1.6318 α_ffn_eff=2.7239 φ_l=0.0368 scale=0.9831
Training: 1259294it [1:49:00,  7.49it/s]   FCA: α_attn_eff=1.6396 α_ffn_eff=2.7369 φ_l=0.0368 scale=0.9878
Training: 1259295it [1:49:00,  7.51it/s]   FCA: α_attn_eff=1.6412 α_ffn_eff=2.7395 φ_l=0.0368 scale=0.9887
Training: 1259296it [1:49:00,  6.46it/s]   FCA: α_attn_eff=1.6521 α_ffn_eff=2.7578 φ_l=0.0368 scale=0.9953
Training: 1259297it [1:49:00,  6.84it/s]   FCA: α_attn_eff=1.6302 α_ffn_eff=2.7213 φ_l=0.0368 scale=0.9821
Training: 1259298it [1:49:01,  7.02it/s]   FCA: α_attn_eff=1.6427 α_ffn_eff=2.7421 φ_l=0.0368 scale=0.9897
Training: 1259299it [1:49:01,  7.19it/s]   FCA: α_attn_eff=1.6380 α_ffn_eff=2.7343 φ_l=0.0368 scale=0.9868
Training: 1259300it [1:49:01,  7.31it/s]   FCA: α_attn_eff=1.6365 α_ffn_eff=2.7317 φ_l=0.0368 scale=0.9859
Training: 1259301it [1:49:01,  7.41it/s]   FCA: α_attn_eff=1.6474 α_ffn_eff=2.7500 φ_l=0.0368 scale=0.9925
Training: 1259302it [1:49:01,  7.43it/s]   FCA: α_attn_eff=1.6458 α_ffn_eff=2.7474 φ_l=0.0368 scale=0.9915
Training: 1259303it [1:49:01,  7.51it/s]   FCA: α_attn_eff=1.6458 α_ffn_eff=2.7474 φ_l=0.0368 scale=0.9915
Training: 1259304it [1:49:01,  6.46it/s]   FCA: α_attn_eff=1.6443 α_ffn_eff=2.7448 φ_l=0.0368 scale=0.9906
Training: 1259305it [1:49:02,  6.88it/s]   FCA: α_attn_eff=1.6489 α_ffn_eff=2.7526 φ_l=0.0368 scale=0.9934
Training: 1259306it [1:49:02,  7.05it/s]   FCA: α_attn_eff=1.6536 α_ffn_eff=2.7604 φ_l=0.0368 scale=0.9962
Training: 1259307it [1:49:02,  7.19it/s]   FCA: α_attn_eff=1.6552 α_ffn_eff=2.7630 φ_l=0.0368 scale=0.9972
Training: 1259308it [1:49:02,  7.28it/s]   FCA: α_attn_eff=1.6365 α_ffn_eff=2.7317 φ_l=0.0368 scale=0.9859
Training: 1259309it [1:49:02,  7.32it/s]   FCA: α_attn_eff=1.6396 α_ffn_eff=2.7370 φ_l=0.0368 scale=0.9878
Training: 1259310it [1:49:02,  7.43it/s]   FCA: α_attn_eff=1.6302 α_ffn_eff=2.7213 φ_l=0.0368 scale=0.9821
Training: 1259311it [1:49:02,  7.46it/s]   FCA: α_attn_eff=1.6536 α_ffn_eff=2.7604 φ_l=0.0368 scale=0.9962
Training: 1259312it [1:49:03,  6.44it/s]   FCA: α_attn_eff=1.6458 α_ffn_eff=2.7474 φ_l=0.0368 scale=0.9915
Training: 1259313it [1:49:03,  6.85it/s]   FCA: α_attn_eff=1.6505 α_ffn_eff=2.7552 φ_l=0.0368 scale=0.9944
Training: 1259314it [1:49:03,  7.06it/s]   FCA: α_attn_eff=1.6458 α_ffn_eff=2.7474 φ_l=0.0368 scale=0.9915
Training: 1259315it [1:49:03,  7.24it/s]   FCA: α_attn_eff=1.6396 α_ffn_eff=2.7370 φ_l=0.0368 scale=0.9878
Training: 1259316it [1:49:03,  7.33it/s]   FCA: α_attn_eff=1.6318 α_ffn_eff=2.7239 φ_l=0.0368 scale=0.9831
Training: 1259317it [1:49:03,  7.42it/s]   FCA: α_attn_eff=1.6349 α_ffn_eff=2.7292 φ_l=0.0368 scale=0.9849
Training: 1259318it [1:49:03,  7.49it/s]   FCA: α_attn_eff=1.6349 α_ffn_eff=2.7292 φ_l=0.0368 scale=0.9849
Training: 1259319it [1:49:03,  7.52it/s]   FCA: α_attn_eff=1.6412 α_ffn_eff=2.7396 φ_l=0.0368 scale=0.9887
Training: 1259320it [1:49:04,  6.43it/s]   FCA: α_attn_eff=1.6505 α_ffn_eff=2.7552 φ_l=0.0368 scale=0.9944
Training: 1259321it [1:49:04,  6.88it/s]   FCA: α_attn_eff=1.6365 α_ffn_eff=2.7318 φ_l=0.0368 scale=0.9859
Training: 1259322it [1:49:04,  7.07it/s]   FCA: α_attn_eff=1.6427 α_ffn_eff=2.7422 φ_l=0.0368 scale=0.9897
Training: 1259323it [1:49:04,  7.23it/s]   FCA: α_attn_eff=1.6427 α_ffn_eff=2.7422 φ_l=0.0368 scale=0.9897
Training: 1259324it [1:49:04,  7.35it/s]   FCA: α_attn_eff=1.6490 α_ffn_eff=2.7526 φ_l=0.0368 scale=0.9934
Training: 1259325it [1:49:04,  7.41it/s]   FCA: α_attn_eff=1.6505 α_ffn_eff=2.7552 φ_l=0.0368 scale=0.9944
Training: 1259326it [1:49:04,  7.44it/s]   FCA: α_attn_eff=1.6443 α_ffn_eff=2.7448 φ_l=0.0368 scale=0.9906
Training: 1259327it [1:49:05,  7.47it/s]   FCA: α_attn_eff=1.6443 α_ffn_eff=2.7448 φ_l=0.0368 scale=0.9906
Training: 1259328it [1:49:05,  6.45it/s]   FCA: α_attn_eff=1.6209 α_ffn_eff=2.7057 φ_l=0.0368 scale=0.9765
Training: 1259329it [1:49:05,  6.90it/s]   FCA: α_attn_eff=1.6428 α_ffn_eff=2.7422 φ_l=0.0368 scale=0.9897
Training: 1259330it [1:49:05,  7.10it/s]   FCA: α_attn_eff=1.6428 α_ffn_eff=2.7422 φ_l=0.0368 scale=0.9897
Training: 1259331it [1:49:05,  7.25it/s]   FCA: α_attn_eff=1.6459 α_ffn_eff=2.7474 φ_l=0.0368 scale=0.9915
Training: 1259332it [1:49:05,  7.35it/s]   FCA: α_attn_eff=1.6506 α_ffn_eff=2.7553 φ_l=0.0368 scale=0.9944
Training: 1259333it [1:49:05,  7.40it/s]   FCA: α_attn_eff=1.6474 α_ffn_eff=2.7500 φ_l=0.0368 scale=0.9925
Training: 1259334it [1:49:06,  7.42it/s]   FCA: α_attn_eff=1.6412 α_ffn_eff=2.7396 φ_l=0.0368 scale=0.9887
Training: 1259335it [1:49:06,  7.49it/s]   FCA: α_attn_eff=1.6490 α_ffn_eff=2.7526 φ_l=0.0368 scale=0.9934
Training: 1259336it [1:49:06,  6.45it/s]   FCA: α_attn_eff=1.6553 α_ffn_eff=2.7631 φ_l=0.0368 scale=0.9972
Training: 1259337it [1:49:06,  6.87it/s]   FCA: α_attn_eff=1.6506 α_ffn_eff=2.7553 φ_l=0.0368 scale=0.9944
Training: 1259338it [1:49:06,  7.05it/s]   FCA: α_attn_eff=1.6506 α_ffn_eff=2.7553 φ_l=0.0368 scale=0.9944
Training: 1259339it [1:49:06,  7.22it/s]   FCA: α_attn_eff=1.6490 α_ffn_eff=2.7527 φ_l=0.0368 scale=0.9934
Training: 1259340it [1:49:06,  7.34it/s]   FCA: α_attn_eff=1.6350 α_ffn_eff=2.7292 φ_l=0.0368 scale=0.9849
Training: 1259341it [1:49:07,  7.38it/s]   FCA: α_attn_eff=1.6553 α_ffn_eff=2.7631 φ_l=0.0368 scale=0.9972
Training: 1259342it [1:49:07,  7.44it/s]   FCA: α_attn_eff=1.6443 α_ffn_eff=2.7448 φ_l=0.0368 scale=0.9906
Training: 1259343it [1:49:07,  7.44it/s]   FCA: α_attn_eff=1.6459 α_ffn_eff=2.7474 φ_l=0.0368 scale=0.9915
Training: 1259344it [1:49:07,  6.40it/s]   FCA: α_attn_eff=1.6553 α_ffn_eff=2.7631 φ_l=0.0368 scale=0.9972
Training: 1259345it [1:49:07,  6.86it/s]   FCA: α_attn_eff=1.6521 α_ffn_eff=2.7579 φ_l=0.0368 scale=0.9953
Training: 1259346it [1:49:07,  7.03it/s]   FCA: α_attn_eff=1.6443 α_ffn_eff=2.7448 φ_l=0.0368 scale=0.9906
Training: 1259347it [1:49:07,  7.19it/s]   FCA: α_attn_eff=1.6521 α_ffn_eff=2.7579 φ_l=0.0368 scale=0.9953
Training: 1259348it [1:49:08,  7.33it/s]   FCA: α_attn_eff=1.6506 α_ffn_eff=2.7553 φ_l=0.0368 scale=0.9944
Training: 1259349it [1:49:08,  7.41it/s]   FCA: α_attn_eff=1.6537 α_ffn_eff=2.7605 φ_l=0.0368 scale=0.9962
Training: 1259350it [1:49:08,  7.46it/s]   FCA: α_attn_eff=1.6428 α_ffn_eff=2.7422 φ_l=0.0368 scale=0.9897
Training: 1259351it [1:49:08,  7.47it/s]   FCA: α_attn_eff=1.6459 α_ffn_eff=2.7474 φ_l=0.0368 scale=0.9915
Training: 1259352it [1:49:08,  6.44it/s]   FCA: α_attn_eff=1.6443 α_ffn_eff=2.7448 φ_l=0.0368 scale=0.9906
Training: 1259353it [1:49:08,  6.89it/s]   FCA: α_attn_eff=1.6459 α_ffn_eff=2.7474 φ_l=0.0368 scale=0.9915
Training: 1259354it [1:49:08,  7.09it/s]   FCA: α_attn_eff=1.6287 α_ffn_eff=2.7188 φ_l=0.0368 scale=0.9812
Training: 1259355it [1:49:09,  7.20it/s]   FCA: α_attn_eff=1.6506 α_ffn_eff=2.7552 φ_l=0.0368 scale=0.9944
Training: 1259356it [1:49:09,  7.29it/s]   FCA: α_attn_eff=1.6443 α_ffn_eff=2.7448 φ_l=0.0368 scale=0.9906
Training: 1259357it [1:49:09,  7.32it/s]   FCA: α_attn_eff=1.6475 α_ffn_eff=2.7500 φ_l=0.0368 scale=0.9925
Training: 1259358it [1:49:09,  7.35it/s]   FCA: α_attn_eff=1.6443 α_ffn_eff=2.7448 φ_l=0.0368 scale=0.9906
Training: 1259359it [1:49:09,  7.37it/s]   FCA: α_attn_eff=1.6428 α_ffn_eff=2.7422 φ_l=0.0368 scale=0.9897
Training: 1259360it [1:49:09,  6.31it/s]   FCA: α_attn_eff=1.6459 α_ffn_eff=2.7474 φ_l=0.0368 scale=0.9915
Training: 1259361it [1:49:09,  6.75it/s]   FCA: α_attn_eff=1.6522 α_ffn_eff=2.7578 φ_l=0.0368 scale=0.9953
Training: 1259362it [1:49:10,  6.94it/s]   FCA: α_attn_eff=1.6444 α_ffn_eff=2.7448 φ_l=0.0368 scale=0.9906
Training: 1259363it [1:49:10,  7.12it/s]   FCA: α_attn_eff=1.6428 α_ffn_eff=2.7422 φ_l=0.0368 scale=0.9897
Training: 1259364it [1:49:10,  7.24it/s]   FCA: α_attn_eff=1.6553 α_ffn_eff=2.7630 φ_l=0.0368 scale=0.9972
Training: 1259365it [1:49:10,  7.36it/s]   FCA: α_attn_eff=1.6522 α_ffn_eff=2.7578 φ_l=0.0368 scale=0.9953
Training: 1259366it [1:49:10,  7.39it/s]   FCA: α_attn_eff=1.6444 α_ffn_eff=2.7448 φ_l=0.0368 scale=0.9906
Training: 1259367it [1:49:10,  7.47it/s]   FCA: α_attn_eff=1.6287 α_ffn_eff=2.7187 φ_l=0.0368 scale=0.9812
Training: 1259368it [1:49:10,  6.39it/s]   FCA: α_attn_eff=1.6178 α_ffn_eff=2.7005 φ_l=0.0368 scale=0.9746
